task_id,sc_id,time_first_known,sc_start_time,container_start_time,finish_time,distance_to_container,time_to_container,travel_time,idle_time,penalty_time,origin_location,destination_location,sc_total_distance,container_distance,sc_travel_time,container_travel_time
CO_TFTU000078,SC019,2024-08-21 07:14:00,2024-08-21 07:13:46,2024-08-21 07:14:55,2024-08-21 07:17:26,386377,69.55481548154816,220.11773177317733,0.0,0,QC007,WS013.01,1222754,836377,220.11773177317733,150.56291629162916
CO_TFTU000082,SC010,2024-08-21 07:15:00,2024-08-21 07:14:20,2024-08-21 07:15:00,2024-08-21 07:15:27,222193,39.9987398739874,67.3962196219622,0.0,0,QC005,YARD001.31,374386,152193,67.3962196219622,27.3974797479748
CO_TFTU000084,SC011,2024-08-21 07:15:00,2024-08-21 07:13:41,2024-08-21 07:15:00,2024-08-21 07:17:39,436377,78.55571557155716,238.11953195319532,6.830243,0,QC007,WS014.01,1322754,886377,238.11953195319532,159.56381638163816
CO_TFTU000080,SC013,2024-08-21 07:15:00,2024-08-21 07:14:50,2024-08-21 07:15:10,2024-08-21 07:16:15,112657,20.28028802880288,85.21008100810081,0.0,0,QC001,WS002.01,473342,360685,85.21008100810081,64.92979297929793
CO_TFTU000085,SC017,2024-08-21 07:15:00,2024-08-21 07:14:29,2024-08-21 07:16:07,2024-08-21 07:17:38,544833,98.07974797479748,189.01890189018903,0.0,0,RAIL001.65,WS003.01,1050000,505167,189.01890189018903,90.93915391539154
CO_TFTU000083,SC006,2024-08-21 07:15:00,2024-08-21 07:12:56,2024-08-21 07:15:00,2024-08-21 07:17:21,686787,123.63402340234023,265.26984698469846,0.288028,0,QC006,WS014.01,1473574,786787,265.26984698469846,141.63582358235823
CO_TFTU000081,SC014,2024-08-21 07:15:00,2024-08-21 07:13:02,2024-08-21 07:15:28,2024-08-21 07:16:51,810685,145.93789378937893,228.86948694869486,0.0,0,QC001,WS004.01,1271370,460685,228.86948694869486,82.93159315931594
CO_TFTU000092,SC010,2024-08-21 07:16:00,2024-08-21 07:15:27,2024-08-21 07:16:13,2024-08-21 07:18:34,252637,45.47920792079208,187.1150315031503,0.0,0,QC006,WS014.01,1039424,786787,187.1150315031503,141.63582358235823
CO_TFTU000090,SC008,2024-08-21 07:16:00,2024-08-21 07:15:08,2024-08-21 07:16:00,2024-08-21 07:16:07,286787,51.62682268226823,59.31593159315931,5.669126,0,QC006,YARD001.52,329500,42713,59.31593159315931,7.689108910891089
CO_TFTU000093,SC016,2024-08-21 07:16:00,2024-08-21 07:15:19,2024-08-21 07:16:29,2024-08-21 07:18:59,386787,69.62862286228624,220.26534653465347,0.0,0,QC006,WS015.01,1223574,836787,220.26534653465347,150.63672367236722
